McConnell blasts Biden's voting rights speech as 'rage and false hysteria', 6 hours ago, Sen. Mitch McConnell blasted President Joe Biden from the Senate floor Wednesday over his speech one day earlier calling for filibuster changes to pass..., https://abcnews.go.com/Politics/mcconnell-blasts-bidens-voting-rights-speech-rage-false/story%3Fid%3D82227148 
Opinion | How Biden is working to save Putin's pipeline, 6 hours ago, President Biden's national security team worked hard this week to defeat a GOP congressional effort to sanction a Russian-German energy project that will..., https://www.washingtonpost.com/opinions/2022/01/12/how-biden-is-working-save-putins-pipeline/ 
The real sleeper Democratic 2024 tickets (not really), 6 hours ago, We here at The Fix are upset. We're upset that you people decided Tuesday was the day to talk about sleeper tickets for the 2024 Democratic nomination..., https://www.washingtonpost.com/politics/2022/01/12/hillary-clinton-2024-biden-cheney-2024-no-here-are-real-sleeper-democratic-tickets/ 
Biden Administration to Offer Schools Millions of Free Covid-19 Tests Each Month, 6 hours ago, The Biden administration plans to begin shipping five million free rapid Covid-19 tests to K-12 schools each month White House officials said., https://www.wsj.com/articles/biden-administration-to-offer-schools-millions-of-free-covid-19-tests-each-month-11641981601 
Biden slammed for inaccuracy other blunders during speech on election reform, 6 hours ago, Critics are slamming President Joe Biden for a variety of questionable statements and inaccuracies during a speech he gave in Atlanta Tuesday endorsing..., https://komonews.com/news/nation-world/biden-slammed-for-inaccuracy-other-blunders-during-speech-on-election-reform 
Mitt Romney says Biden failed to increase COVID testing before omicron surge, 6 hours ago, The omicron variant is surging in the U.S. As Americans endure long lines for a COVID-19 test Utah Sen. Mitt Romney blames the Biden administration for not..., https://www.deseret.com/utah/2022/1/12/22880306/mitt-romney-blames-joe-biden-failure-to-increase-covid-testing-before-omicron-surge 
Quinnipiac Has Biden at 33 Percent Approval, 6 hours ago, It's an outlier yes but goodness is today's Quinnipiac poll a disaster for President Biden., https://www.nationalreview.com/corner/quinnipiac-has-biden-at-33-percent-approval/ 
Hunter Biden's ex-wife Kathleen Buhle will release memoir, 6 hours ago, Hunter Biden's ex-wife Kathleen Buhle will release a memoir in the run-up to the midterm elections about the breakdown of their 24-year marriage., https://www.dailymail.co.uk/news/article-10395567/Hunter-Bidens-ex-wife-Kathleen-Buhle-release-memoir.html 
McConnell fires back at Biden's 'profoundly unpresidential' speech: 'Deliberately divisive', 6 hours ago, McConnell torched the president from the Senate floor on Wednesday calling Biden's speech “deliberately divisive” and one that was “designed to pull our..., https://www.foxnews.com/politics/mcconnell-fires-back-biden-unpresidential-speech-deliberately-divisive 
Biden team weighs killing Trump’s new nuclear weapons, 6 hours ago, The Biden administration is considering killing off several nuclear weapons programs that were greenlit by the Trump White House as an internal debate over..., https://www.politico.com/news/2022/01/12/biden-trump-nuclear-weapons-526976 
McCarthy Foxx demand Biden education secretary turn over correspondence with teachers unions, 6 hours ago, Additionally the lawmakers noted that December department data showed only 4% of American Rescue Plan funds for school districts had been touched., https://www.foxnews.com/politics/mccarthy-foxx-demand-biden-education-secretary-teachers-unions 
Deconstructing the case for a 2024 Hillary Clinton bid, 6 hours ago, Hillary Clinton is perfectly positioned to step into the breach created by an unpopular Joe Biden and a shaky Kamala Harris in 2024 according to a new..., https://www.cnn.com/2022/01/12/politics/hillary-clinton-2024-presidential-election/index.html 
NYT's Friedman ripped for suggesting Biden-Cheney 2024 ticket: 'The worst timeline', 7 hours ago, New York Times columnist Thomas Friedman was mocked on social media after he floated the possibility that President Biden could replace Vice President..., https://nypost.com/2022/01/12/nyts-friedman-ripped-for-suggesting-biden-cheney-2024-ticket/ 
Biden Administration Making Lists of Religious Vaccine Objectors, 7 hours ago, The announcement does not say what the agency will do with this information after it has decided an employee's religious accommodation request. Biden is..., https://www.heritage.org/religious-liberty/commentary/biden-administration-making-lists-religious-vaccine-objectors 
McConnell Tears into Biden’s Atlanta Speech: ‘Incoherent Incorrect and Beneath His Office’, 7 hours ago, Mitch McConnell (R. Ky.) tore into President Biden's speech advocating a suspension of filibuster rules in remarks on the Senate floor on Wednesday., https://www.yahoo.com/entertainment/mcconnell-tears-biden-atlanta-speech-184947234.html 
McConnell says Biden speech was 'incoherent incorrect and beneath his office' | TheHill, 7 hours ago, Senate Minority Leader Mitch McConnell (R-Ky.) on Wednesday offered a blistering rebuke of President Biden's speech in Georgia in which the president..., https://thehill.com/homenews/senate/589417-mcconnell-offers-blistering-rebuke-of-bidens-georgia-speech-incoherent 
Georgia secretary of state on 'Kilmeade Show': Biden is just ‘dead wrong’ on state's election law, 7 hours ago, Georgia Secretary of State Brad Raffensperger on “The Brian Kilmeade Show” Wednesday defended Georgia's election reform law after President Biden compared..., https://www.foxnews.com/media/georgia-secretary-state-biden-dead-wrong-voter-reform 
Biden concedes he has 'more work to do' on fighting price hikes as inflation frustrations threaten his domestic agenda, 7 hours ago, President Joe Biden on Wednesday said the latest report on inflation in the US shows there is more work to do on lowering consumer prices..., https://www.cnn.com/2022/01/12/politics/joe-biden-inflation-december/index.html 
'Hillary has a better chance in 2024 than Biden': Internet erupts over possible Clinton-Trump race, 7 hours ago, Twitter lit up after several recent opinion pieces from seasoned political experts hold up Hillary Clinton as a potential 2024 nominee in light of Joe..., https://www.dailymail.co.uk/news/article-10395225/Hillary-better-chance-2024-Biden-Internet-erupts-possible-Clinton-Trump-race.html 
